file	date	Label	ID_TUBE	Treatment	Landscape	Replicate	Size	Composition	indiv_per_frame	indiv_per_ul	bioarea_per_frame	bioarea_per_ul	major_mean	major_sd	minor_mean	minor_sd	gross_speed_mean	gross_speed_sd	net_speed_mean	net_speed_sd	sd_turning_mean	Rot	Spi	Ble	Pca	Col	Chi	Tet	Other
sample_00228	5/9/2016	228	228bA	Isolated	Blue	A	7.5	mixture	72.944	2.120465116	25137.3456	730.7367907	41.42997649	34.17517745	22.98929882	12.33333352	177.2357012	99.77137368	75.68021978	113.9601754	0.661483516	0.451162791	0.01627907	0.054883721	0.125116279	0.078604651	1.329069767	0.046511628	0.018837209
sample_00229	5/9/2016	229	229bA	Isolated	Blue	A	7.5	mixture	46.624	1.355348837	25430.2416	739.2512093	52.53127566	38.24334592	26.10982078	13.9593754	174.3825276	91.06884902	90.74478261	102.829376	0.78426087	0.628372093	0.011395349	0.058139535	0.046744186	0.040465116	0.527209302	0.032325581	0.010697674
sample_00230	5/9/2016	230	230bA	Isolated	Blue	A	22.5	mixture	42.816	1.244651163	38507.3028	1119.398337	87.42742175	59.77857427	36.3144895	15.94297578	268.5162101	199.6678408	184.7995876	202.9239225	0.532783505	0.477674419	0.049302326	0.132093023	0.266046512	0.022790698	0.266976744	0.029767442	0
sample_00231	5/9/2016	231	231bA	Isolated	Blue	A	7.5	mixture	70.328	2.044418605	29870.2728	868.3218837	46.80298234	48.44112994	23.86594522	10.91677838	168.6623229	84.677743	73.54611111	85.34117253	0.748888889	0.546744186	0.085116279	0.056511628	0.056046512	0.004418605	1.242790698	0.049767442	0.003023256
sample_00232	5/9/2016	232	232bA	Isolated	Blue	A	7.5	mixture	52.224	1.518139535	30078.4752	874.3742791	53.80834465	44.86654634	27.6981985	13.39033739	192.75725	86.73889909	119.7413934	107.0616989	0.599590164	0.388372093	0.04627907	0.126511628	0.15255814	0.093488372	0.585581395	0.113953488	0.011395349
sample_00233	5/9/2016	233	233bA	Isolated	Blue	A	13	mixture	49.2	1.430232558	26820.072	779.6532558	55.42498046	46.52596679	27.34527753	15.36570432	229.8957638	170.6790373	148.0984685	181.5164011	0.673153153	0.399534884	0	0.091860465	0.203953488	0	0.626511628	0.104186047	0.004186047
sample_00234	5/9/2016	234	234bA	Isolated	Blue	A	13	mixture	59.376	1.726046512	22687.776	659.5283721	44.23246041	42.33539558	22.73411534	12.36375274	177.4100615	101.4252782	75.41343195	116.7060584	0.698461538	0.48372093	0.074186047	0.026744186	0.036046512	0.052325581	1.039302326	0	0.01372093
sample_00235	5/9/2016	235	235bA	Isolated	Blue	A	7.5	mixture	61.424	1.785581395	28708.992	834.5637209	53.99638278	51.75254301	26.1571631	12.28306243	192.7081302	176.3077386	118.7609091	188.7159498	0.631439394	0.214186047	0.092325581	0.143023256	0.099069767	0.073023256	0.952325581	0.211627907	0
sample_00236	5/9/2016	236	236bA	Isolated	Blue	A	7.5	mixture	70.768	2.057209302	24047.7984	699.063907	43.83795244	30.63662725	23.67274244	10.83403974	160.6053132	68.08782042	71.32764706	84.47864642	0.813823529	0.583255814	0.010465116	0.099767442	0.06	0.012093023	1.256744186	0.031395349	0.003488372
sample_00237	5/9/2016	237	237bA	Isolated	Blue	A	22.5	mixture	46.888	1.363023256	36730.3248	1067.742	79.70696742	65.07728988	33.26189301	17.16562356	229.2867309	146.7111794	154.1006	156.049238	0.6063	0.475348837	0.132093023	0.124651163	0.137674419	0.06	0.386046512	0.031162791	0.016046512
sample_00238	5/9/2016	238	238bA	Isolated	Blue	A	7.5	mixture	66.464	1.932093023	43858.584	1274.958837	66.21424853	56.56004066	30.34772739	15.3109444	196.1922027	124.3543752	117.2346259	134.4739332	0.660612245	0.518837209	0.125348837	0.199302326	0.200465116	0	0.854883721	0.026046512	0.007209302
sample_00239	5/9/2016	239	239bA	Isolated	Blue	A	7.5	mixture	38.68	1.124418605	17252.3844	501.5228023	47.84981911	39.75224416	25.09290982	14.3624456	182.3032322	118.6494823	97.5057	132.0714023	0.7262	0.390930233	0	0.03255814	0.091627907	0.010465116	0.589069767	0.009767442	0
sample_00240	5/9/2016	240	240bA	Isolated	Blue	A	22.5	mixture	53.76	1.562790698	44726.2236	1300.180919	75.69663948	63.20434731	31.96610875	16.35975794	214.1940297	147.7914523	137.5721186	157.333845	0.701016949	0.599534884	0.162325581	0.189767442	0.134186047	0.032093023	0.40627907	0.031860465	0.006744186
sample_00241	5/9/2016	241	241bA	Isolated	Blue	A	7.5	mixture	76.208	2.215348837	32430.3912	942.7439302	52.51708749	58.98883221	24.17670622	12.8327935	182.9982895	112.5884647	92.98423729	113.7862858	0.684124294	0.435348837	0.10255814	0.087209302	0.142790698	0.080697674	1.283488372	0.083255814	0
sample_00242	5/9/2016	242	242bA	Isolated	Blue	A	13	mixture	58.96	1.713953488	44810.2692	1302.624105	72.56927876	45.36230985	33.05902509	14.24099905	199.0013111	112.0222178	132.345935	127.9320875	0.608130081	0.923023256	0.046046512	0.205581395	0.128837209	0.069534884	0.33	0.004651163	0.00627907
sample_00243	5/9/2016	243	243bA	Isolated	Blue	A	13	mixture	47.472	1.38	29826.5976	867.0522558	64.39406661	48.44926429	30.33068267	14.40541603	197.5839908	124.0610789	112.5804167	121.8181127	0.683229167	0.503953488	0.040697674	0.201860465	0.088139535	0.083953488	0.44627907	0.015116279	0
sample_00244	5/9/2016	244	244bA	Isolated	Blue	A	45	mixture	44	1.279069767	39265.722	1141.445407	78.80765132	59.17096772	33.71946931	15.8699188	213.9033179	121.3491506	137.0085567	122.0143747	0.628969072	0.589302326	0.040697674	0.110465116	0.225813953	0.049069767	0.212093023	0.04744186	0.004186047
sample_00245	5/9/2016	245	245bA	Isolated	Blue	A	7.5	mixture	59.944	1.74255814	27163.2852	789.6303837	47.41937426	49.42102399	24.37563402	10.17123846	152.9149485	61.99528668	62.96015267	74.34969186	0.667938931	0.416511628	0.070697674	0.145116279	0.016976744	0.036976744	0.978837209	0.029069767	0.048372093
sample_00246	5/9/2016	246	246bA	Isolated	Blue	A	22.5	mixture	57.096	1.659767442	34328.286	997.9152907	64.94476075	53.51852688	29.46177825	14.49222097	186.3355071	103.2390713	111.1229464	108.3578784	0.680446429	0.712093023	0.077209302	0.124651163	0.074186047	0.032325581	0.584651163	0.054651163	0
sample_00247	5/9/2016	247	247bA	Isolated	Blue	A	7.5	mixture	49.864	1.449534884	18998.6472	552.2862558	48.20414833	42.19074261	23.71551951	13.67282703	203.0909451	139.3555979	99.89669118	142.0969206	0.709926471	0.279534884	0.006511628	0.084418605	0.126976744	0.038139535	0.875581395	0.03627907	0.002093023
sample_00248	5/9/2016	248	248bA	Isolated	Blue	A	7.5	mixture	47.424	1.378604651	32121.2628	933.7576395	65.31766917	52.12966799	29.72445192	14.53396924	204.0508513	152.0874042	119.0362931	164.1019497	0.756206897	0.556976744	0.051627907	0.124651163	0.144883721	0.102325581	0.384651163	0.00372093	0.009767442
sample_00249	5/9/2016	249	249bA	Isolated	Blue	A	7.5	mixture	51.016	1.483023256	24966.2412	725.7628256	52.94944749	47.90807562	25.79892262	14.14918704	189.7322664	149.6876232	95.67689922	156.6272189	0.721317829	0.374651163	0.038372093	0.105116279	0.11	0.005116279	0.835813953	0.004186047	0.009767442
sample_00250	5/9/2016	250	250bA	Isolated	Blue	A	7.5	mixture	62.288	1.810697674	36468.5004	1060.130826	57.76839229	51.17805124	26.71303034	14.03481411	189.5213988	122.4527298	98.52726027	131.3102762	0.676506849	0.580232558	0.083023256	0.121860465	0.116976744	0.043255814	0.764418605	0.063488372	0.03744186
sample_00251	5/9/2016	251	251bA	Isolated	Blue	A	45	mixture	51.432	1.495116279	51540.6564	1498.274895	89.7209046	52.51799109	36.84256157	15.79329801	208.9551527	98.04816026	150.4971264	120.9633661	0.574712644	0.810232558	0.032093023	0.376976744	0.056744186	0.083255814	0.128139535	0	0.007674419
sample_00252	5/9/2016	252	252bA	Isolated	Blue	A	45	mixture	57.104	1.66	47352.924	1376.538488	66.71928162	59.06109037	29.39122155	17.19835289	213.866505	144.3913932	121.506	148.6535906	0.690814815	0.575348837	0.05744186	0.18744186	0.227209302	0.083488372	0.518372093	0	0.010697674
sample_00253	5/9/2016	253	253bB	Isolated	Blue	B	7.5	mixture	57.472	1.670697674	36187.0416	1051.948884	64.79775836	61.60617206	27.68840943	14.58252247	203.0594321	130.9784253	121.8412057	136.6232334	0.674184397	0.583023256	0.135581395	0.098372093	0.165813953	0.031860465	0.608139535	0.041162791	0.006744186
sample_00254	5/9/2016	254	254bB	Isolated	Blue	B	7.5	mixture	70.832	2.059069767	49311.1152	1433.462651	66.35356589	59.34870957	29.48683376	15.09994933	187.3570877	131.6830832	95.6508805	143.1828852	0.621761006	0.851395349	0.215581395	0.182325581	0.078837209	0.035813953	0.677906977	0	0.017209302
sample_00255	5/9/2016	255	255bB	Isolated	Blue	B	7.5	mixture	53.736	1.562093023	30249.5472	879.3473023	60.25530134	48.90495642	29.22793585	16.97144712	210.5631616	165.6082881	115.5634783	177.868545	0.677536232	0.599534884	0.101162791	0.004418605	0.177906977	0	0.651627907	0.009767442	0.017674419
sample_00256	5/9/2016	256	256bB	Isolated	Blue	B	7.5	mixture	53.32	1.55	34008.7896	988.6276047	67.72143966	65.01879738	28.07564755	14.02631942	182.793755	106.0899594	84.27276119	108.9553413	0.67858209	0.557674419	0.165813953	0.113255814	0.100930233	0.041860465	0.557209302	0.003488372	0.009767442
sample_00257	5/9/2016	257	257bB	Isolated	Blue	B	7.5	mixture	46.272	1.345116279	21060.2268	612.2158953	48.02995143	42.66635198	24.48538679	14.45938694	190.4054862	124.2218326	91.1644186	132.1186908	0.706356589	0.304651163	0.028837209	0.115581395	0.124418605	0.034418605	0.725116279	0	0.012093023
sample_00258	5/9/2016	258	258bB	Isolated	Blue	B	7.5	mixture	41.512	1.206744186	25015.6836	727.2001047	60.46341708	74.22147052	24.60472187	12.61668419	183.4063688	104.7414269	93.57678571	121.4017322	0.640892857	0.468139535	0.113255814	0	0.033023256	0.023023256	0.556511628	0.005581395	0.007209302
sample_00259	5/9/2016	259	259bB	Isolated	Blue	B	7.5	mixture	39.144	1.137906977	33026.1624	960.0628605	82.29606605	55.00021852	34.72476213	14.01838532	210.8218936	86.87487404	139.3945556	99.80814571	0.632666667	0.51744186	0.041395349	0.129534884	0.209302326	0.07372093	0.153255814	0.005116279	0.008139535
sample_00260	5/9/2016	260	260bB	Isolated	Blue	B	13	mixture	38.216	1.110930233	24696.252	717.9143023	65.40259359	49.92567157	28.95361475	13.78269688	192.7274969	161.0136684	110.1325843	177.9654283	0.623595506	0.66372093	0.107209302	0.026976744	0.032093023	0.016046512	0.258837209	0.006046512	0
sample_00261	5/9/2016	261	261bB	Isolated	Blue	B	7.5	mixture	41.144	1.196046512	26677.0908	775.4968256	65.16208872	62.94239153	28.19010164	14.08382518	199.3800568	150.4535817	124.401134	166.2466696	0.679587629	0.416511628	0.067906977	0.058139535	0.143488372	0.029069767	0.420697674	0.060232558	0
sample_00262	5/9/2016	262	262bB	Isolated	Blue	B	13	mixture	48.68	1.415116279	38077.4196	1106.901733	78.33679355	65.64618638	30.2532181	14.72388874	227.2445601	167.5646721	146.5505691	182.0622328	0.64398374	0.498139535	0.115116279	0.169767442	0.214883721	0.010465116	0.364883721	0.038604651	0.003255814
sample_00263	5/9/2016	263	263bB	Isolated	Blue	B	7.5	mixture	36.576	1.063255814	20158.6968	586.0086279	54.47832088	41.69374588	26.52468004	12.69520227	169.8292183	103.4572059	95.35483516	117.048876	0.728241758	0.354651163	0.024651163	0.089767442	0.10372093	0.058139535	0.379069767	0.037674419	0.015581395
sample_00264	5/9/2016	264	264bB	Isolated	Blue	B	13	mixture	47.68	1.386046512	39291.2208	1142.186651	75.23599308	65.13925904	30.86596004	15.17750042	203.5565148	138.7154397	130.3439252	153.5823519	0.69	0.725348837	0.190930233	0.065581395	0.104651163	0	0.294186047	0.005348837	0
