"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",8.48049967405257,0.153640072997303,565,55.197185920378,9.15515979380651e-230
"Size13",-0.24709893653889,0.279504875497122,565,-0.884059485901293,0.377040133793971
"Size22.5",0.11243205288356,0.397128018613955,565,0.283112869436832,0.777194014338146
"Size45",0.587621764381229,0.441152487710419,565,1.33201507585503,0.183392283552048
"day",-0.133009096322395,0.00808791926483293,565,-16.4454035663699,6.02585813783439e-50
"Size13:day",0.014409388761605,0.0141811075842276,565,1.01609755627489,0.310017842195398
"Size22.5:day",-0.0399993203994105,0.0201376472787618,565,-1.98629561068913,0.0474832194402928
"Size45:day",-0.0765572861051039,0.02236812246742,565,-3.42260671259345,0.000665140250891302
