"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",4.71771128731314,0.15359124759657,137,30.7160164471409,2.65805531646147e-63
"Size13",0.135019179714655,0.286674994650889,137,0.470983455948364,0.638401622663683
"Size22.5",-1.36048567813641,0.407465130294082,137,-3.33890087025239,0.00108354166542488
"Size45",-2.17220708995289,0.45266114887715,137,-4.79874867843454,4.11857690794905e-06
